"ID";"Kategoria nadrzędna";"Nazwa"
"3";"Kategoria główna";"Sklep z lampami"
"4";"Sklep z lampami";"Plafony domowe / wewnętrzne"
"5";"Sklep z lampami";"Lampy wiszące"
"6";"Sklep z lampami";"Lampy chromowane"
"7";"Sklep z lampami";"Zwisy wiszące"
"8";"Sklep z lampami";"Kinkiety"
"9";"Sklep z lampami";"Lampy sufitowe"
"10";"Sklep z lampami";"Lampy LOFT / Industrialne"
"11";"Sklep z lampami";"Reflektory sufitowe / spoty"
"12";"Sklep z lampami";"Lampy dziecięce"
"13";"Sklep z lampami";"Lampy z abażurami"
"14";"Sklep z lampami";"Lampy podłogowe / stojące"
"15";"Sklep z lampami";"Lampki stołowe nocne"
"16";"Lampy wiszące";"Żyrandole retro"
"17";"Lampy chromowane";"Kinkiety chrom"
"18";"Zwisy wiszące";"Zwisy wiszące pojedyncze regulowane"
"19";"Kinkiety";"Kinkiety nowoczesne"
"20";"Lampy sufitowe";"Lampy sufitowe nowoczesne"
"21";"Lampy LOFT / Industrialne";"Lampy 3-płomienne LOFT / Industrialne"
"22";"Lampy wiszące";"Lampy wiszące z abażurami"
"23";"Lampy dziecięce";"Lampy wiszące dziecięce"
"24";"Lampy dziecięce";"Lampy sufitowe dziecięce"
"25";"Zwisy wiszące";"Zwisy wiszące pojedyncze nowoczesne"
"26";"Zwisy wiszące";"Zwisy wiszące pojedyncze - kule kolorowe"
"27";"Lampy chromowane";"Lampy wiszące chrom"
"28";"Lampy wiszące";"Lampy wiszące w oplocie"
"29";"Zwisy wiszące";"Zwisy wiszące pojedyncze z abażurem"
"30";"Lampy chromowane";"Plafony chrom"
"31";"Lampy LOFT / Industrialne";"Lampy 1-płomienne LOFT / Industrialne"
"32";"Lampy z abażurami";"Lampa abażur dziecięca"
"33";"Lampy sufitowe";"Lampy sufitowe biurowe"
"34";"Plafony domowe / wewnętrzne";"Plafony nowoczesne"
"35";"Lampy wiszące";"Lampy wiszące kuchenne"
"36";"Kinkiety";"Kinkiety z abażurami"
"37";"Zwisy wiszące";"Zwisy wiszące pojedyncze kuchenne"
"38";"Lampy wiszące";"Lampy wiszące nowoczesne"
"39";"Lampy wiszące";"Lampy wiszące regulowane"
"40";"Lampy wiszące";"Lampy wiszące ze szklanymi kloszami"
"41";"Lampy LOFT / Industrialne";"Lampy 5-płomienne LOFT / Industrialne"
"42";"Lampy sufitowe";"Lampy sufitowe klasyczne"
"43";"Lampy sufitowe";"Lampy sufitowe do salonu"
"44";"Lampy wiszące";"Żyrandole klasyczne"
"45";"Lampy z abażurami";"Lampa abażur wzór kwiaty"
"46";"Zwisy wiszące";"Zwisy wiszące pojedyncze industrialne"
"47";"Plafony domowe / wewnętrzne";"Plafony klasyczne "
"48";"Lampy z abażurami";"Lampa abażur materiałowa"
"49";"Kinkiety";"Kinkiety klasyczne"
"50";"Lampy sufitowe";"Lampy sufitowe ze szklanymi kloszami"
"51";"Zwisy wiszące";"Zwisy wiszące pojedyncze dekoracyjne"
"52";"Lampy LOFT / Industrialne";"Lampy kinkiety LOFT / Industrialne"
"53";"Lampy sufitowe";"Lampy sufitowe do sypialni"
